name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
move! *by* NIKI,0.829,0.49,6,-7.003,1,0.508,0.523,0,0.0861,0.801,126.922,audio_features,1TrlQEbfqvcxqRXT4qr5sa,spotify:track:1TrlQEbfqvcxqRXT4qr5sa,https://api.spotify.com/v1/tracks/1TrlQEbfqvcxqRXT4qr5sa,https://api.spotify.com/v1/audio-analysis/1TrlQEbfqvcxqRXT4qr5sa,156177,4
Switchblade *by* NIKI,0.694,0.69,6,-6.248,1,0.0845,0.346,0.000674,0.0397,0.304,97.027,audio_features,7b6z03ctOD39o4Cez0wr0X,spotify:track:7b6z03ctOD39o4Cez0wr0X,https://api.spotify.com/v1/tracks/7b6z03ctOD39o4Cez0wr0X,https://api.spotify.com/v1/audio-analysis/7b6z03ctOD39o4Cez0wr0X,204299,4
Strange Land *by* 88rising,0.65,0.265,1,-15.357,1,0.0503,0.903,0.385,0.115,0.156,75.002,audio_features,5DrCWAaQ8zklweBa9abFIu,spotify:track:5DrCWAaQ8zklweBa9abFIu,https://api.spotify.com/v1/tracks/5DrCWAaQ8zklweBa9abFIu,https://api.spotify.com/v1/audio-analysis/5DrCWAaQ8zklweBa9abFIu,175734,4
Warpaint *by* 88rising,0.68,0.658,1,-5.356,1,0.0535,0.082,0.0324,0.109,0.278,128.921,audio_features,3j1fOrxmfuym91Cf9v397b,spotify:track:3j1fOrxmfuym91Cf9v397b,https://api.spotify.com/v1/tracks/3j1fOrxmfuym91Cf9v397b,https://api.spotify.com/v1/audio-analysis/3j1fOrxmfuym91Cf9v397b,213788,4
Swan Song *by* Saweetie,0.714,0.587,5,-5.124,0,0.0401,0.0378,0,0.167,0.542,151.898,audio_features,790TzR1UxBXVMFSGq8p7bv,spotify:track:790TzR1UxBXVMFSGq8p7bv,https://api.spotify.com/v1/tracks/790TzR1UxBXVMFSGq8p7bv,https://api.spotify.com/v1/audio-analysis/790TzR1UxBXVMFSGq8p7bv,167587,4
Drive On *by* NIKI,0.681,0.413,2,-10.312,1,0.0316,0.384,0.00112,0.0978,0.226,114.994,audio_features,6dB4Y5ydC6cc7jsqr71ip8,spotify:track:6dB4Y5ydC6cc7jsqr71ip8,https://api.spotify.com/v1/tracks/6dB4Y5ydC6cc7jsqr71ip8,https://api.spotify.com/v1/audio-analysis/6dB4Y5ydC6cc7jsqr71ip8,217693,4
Hallway Weather *by* NIKI,0.507,0.359,7,-10.74,1,0.0268,0.455,0,0.0904,0.165,139.561,audio_features,0XYC5esjcwkqAYVtPvEUST,spotify:track:0XYC5esjcwkqAYVtPvEUST,https://api.spotify.com/v1/tracks/0XYC5esjcwkqAYVtPvEUST,https://api.spotify.com/v1/audio-analysis/0XYC5esjcwkqAYVtPvEUST,233673,4
Selene *by* NIKI,0.798,0.504,11,-9.082,0,0.214,0.156,0.00448,0.0825,0.548,110.022,audio_features,0h11wE1hTwKMxYd1NACgNb,spotify:track:0h11wE1hTwKMxYd1NACgNb,https://api.spotify.com/v1/tracks/0h11wE1hTwKMxYd1NACgNb,https://api.spotify.com/v1/audio-analysis/0h11wE1hTwKMxYd1NACgNb,197455,4
Always Rising *by* NIKI,0.376,0.694,5,-6.381,1,0.261,0.28,1.93e-06,0.102,0.0399,75.625,audio_features,7m4xUEEivwPGz4U0TA1TWD,spotify:track:7m4xUEEivwPGz4U0TA1TWD,https://api.spotify.com/v1/tracks/7m4xUEEivwPGz4U0TA1TWD,https://api.spotify.com/v1/audio-analysis/7m4xUEEivwPGz4U0TA1TWD,184080,4
If There's Nothing Left... *by* NIKI,0.499,0.396,4,-9.256,1,0.047,0.456,0.000887,0.0946,0.287,80.025,audio_features,5UKViIqKCbWcZnGEALL3GE,spotify:track:5UKViIqKCbWcZnGEALL3GE,https://api.spotify.com/v1/tracks/5UKViIqKCbWcZnGEALL3GE,https://api.spotify.com/v1/audio-analysis/5UKViIqKCbWcZnGEALL3GE,210440,4
